report_date,original_value,strict_5tc,status,pattern,source_sentence,source
2022-03-28,5956.0,15648.0,ACCEPT,explicit_to_close_settle_finish,"Dry Bulk: Week 12/2022 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 12/2022 28 March 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market had to contend with volatile bunker concerns once again as the 5TC lost $5956 week on week to close at $15,648.",https://www.drycargomag.com/dry-bulk-week-122022
2022-04-04,13596.0,15460.0,ACCEPT,"\bclosed?\b.{0,60}?(?:at|on)\s+\$([0-9][0-9,]*(?:\.[0-9]+)?)","However, by Friday green shoots were beginning to emerge as the 5TC saw a low of $13,596 yet closed at $15,460.",https://www.drycargomag.com/dry-bulk-week-13-2022
2022-04-25,15299.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-16-2022
2022-05-03,2003.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-17-2022
2022-05-09,24002.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-18-2022
2022-05-16,32733.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-19-2022
2022-05-23,4805.0,37538.0,ACCEPT,explicit_to_close_settle_finish,"The Capesize 5TC rose +$4,805 over the week to close at $37,538.",https://www.drycargomag.com/dry-bulk-week-20-2022
2022-06-13,4609.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-23-2022
2022-06-20,5111.0,24776.0,ACCEPT,explicit_to_close_settle_finish,"Amongst this turmoil the sector managed to find a floor under its recent softening as sentiment improved in the latter part of the week with the Capesize 5TC lifting $5,111 over the week to finish at $24,776.",https://www.drycargomag.com/dry-bulk-week-24-2022
2022-06-27,4901.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-25-2022
2022-07-18,20000.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-28-2022
2022-10-17,1909.0,17965.0,ACCEPT,explicit_to_close_settle_finish,"The Capesize 5TC lowered 1909 over the week to settle at $17,965.",https://www.drycargomag.com/flat-week-for-dry-bulk-shipping
